state,dist_name,address,email,telephone,state_code
Andhra Pradesh,AUROBINDO DRUGS,"D.NO:8-72, BLOCK-IIPRASAD PLAZA,KAMAIAHTHOPU CENTER,M.G.ROADVIJAYAWADA,VIJAYAWADA,520007",aurobindodrugs@gmail.com,0866-3202242,AP
Andhra Pradesh,BALAJI MEDICAL CORPORATION,"9-10-51A, D.S BUILDINGSNAAZ CENTREGUNTUR 522 001,GUNTUR,522001",bmcguntur1@gmail.com,9849828896,AP
Andhra Pradesh,AUROBINDO DRUGS (GNT),"D.NO:8-72, BLOCK-IIPRASAD PLAZA,KAMAIAHTHOPU CENTER,M.G.ROADVIJAYAWADA,VIJAYAWADA,520007",aurobindodrugs@gmail.com,0866-3202242,AP
Andhra Pradesh,KRANTHI MEDICAL AGENCIES,"OLD GOVT HOSPITAL ROAD,BEHIND AMBETHKARSTATUEONGOLE,ONGOLE,523001",pcsr79@yahoo.com,9246472006,AP
Andhra Pradesh,PARAMOUNT MEDICAL AGENCIES,"30-8-7, BHANUSTREETDABAGARDENSVISAKHAPATNAM,VISAKHAPATNAM,530020",paramountmedicalagencies@gmail.com,9849112421,AP
Andhra Pradesh,AUROBINDO DRUGS (VSP),"DOOR NO. # 47-1-111/16th LaneDwarakNagarVISAKHAPATNAM,Visakhapatnam,530016",aurobindodrugs@gmail.com,9849595908,AP
Andhra Pradesh,VARDHMAN SPECIALITIES,"30 11 19 2FLAT NO 101 102GROUND FLR SHREE SUBHADRA CASTLELAKSHMISTREETDABA GARDENS,VISAKHAPATNAM,530020",vardhmanvizag@gmail.com,9849185987,AP
Andhra Pradesh,KALYANI HEALTH PLUS,"Door No.152/1JAYANAGAR COLONYNEAR BAIRAGIPATTEDAPARK,TIRUPATHI,517501",kalyanihealthplus@gmail.com,9920124208,AP
Andhra Pradesh,ALARIC ENTERPRISES,"DOOR NO 12/570 CELLORE BESIDE 3RD LIFTSOWMYA NAGAR NEARVARADHITADEPALLIMANGALAGIRI,MANGALAGIRI,522501",,9989011088,AP
Assam,MODERN PHARMA COMPANY,"DANISH ROADPANBAZARGUWAHATIASSAM,GUWAHATI,781001",arvindbajaj123@gmail.com,0361-2546361/2544519,AS
Assam,A.S. PHARMA PRIVATE LIMITED (T),"TULSI HARI BHAWANGMCH, BIRUBARI RDRUPNAGAR, INDRAPURGUWAHATI,ASSAM,GUWAHATI,781032",aspharmaghy@gmail.com,9971399708,AS
Assam,APOLLO PHARMACEUTICALS,"249 A K AZAD ROADGOPINATH NAGARGUWAHATIASSAM,GUWAHATI,781016",choudhurygroup@yahoo.co.in,,AS
Bihar,K. V D. AGENCIES,"GOVIND MITRA ROADPATNAPATNAPATNAPATNA,PATNA,800004",rkeshri69@gmail.com,0612 - 2301980,BR
Bihar,KING ENTERPRISE PATNA,"KOHINOOR COMPLEXBESIDE SHALIMAR COLDSTORAGEANISABAD,PATNA,800002",kingenterprise2013@gmail.com,2254045,BR
Bihar,NEW PURAN MEDICAL AGENCY,"SARRAF PALACE, GOVIND MITRA RDP.O. BANKIPUR, P.S.PIRBAHORE,PATNA,800004",newpuranmedagency@gmail.com,9431063952,BR
Bihar,KESAR VACCINE DISTRIBUTORS (ONCO),"OPP UDAY PALACEGOVIND MITRA RD.,PATNA,800004",rkeshri69@gmail.com,2301463,BR
Bihar,SHREE SALASAR BALAJI AGENCY,"KHEMKA HOUSEASHOK RAJ PATH,PATNA,800004",rahulkhemka7@gmail.com,9709300131,BR
Chandigarh,GURU NANAK MEDICOS (P) LTD.,"S.C.O.,290SECTOR 35 - DCHANDIGARH,CHANDIGARH,160022",gnmpl@yahoo.com,0172-2602085 5007085,CH
Chandigarh,M/s. Halcyon Pharmaceuticals,"SCO 134, GROUND FLOOR,BACKSIDE ENTRY,SECTOR 24D,,Chandigarh,160023",halcyonpharmaceuticals@gmail.com,9855732277,CH
Chandigarh,"A S Pharma Pvt. Ltd., Chandigarh","SOC- 35, 2nd Floor,Sector 16 D,Chandigarh,160023",aspharmachd@gmail.com,0172-5194450,CH
Chandigarh,FAMILY CHEMISTS,"S.CO. NO. 5SECTOR 11 DCHANDIGARH,CHANDIGARH,160011",,5055455,CH
Chhattisgarh,JAIN MEDICAL STORES RAIPUR,"28,29 NEW MEDICAL COMPLEXRAJBANDHA MAIDANRAIPUR,RAIPUR,492001",raipurjms@gmail.com,8839670706,CG
Chhattisgarh,KUMAR MEDICOSE,"SHOP.NO.1- OLD MEDICAL COMPLEX,G.E.ROAD,RAIPUR,RAIPUR,492001",sanjaykrawats@gmail.com,9827110901,CG
Chhattisgarh,LAXMI MEDICAL AGENCY,"42-44, MEDICAL COMPLEXG.E. RDRAIPUR,RAIPUR,492001",lmaraipur@gmail.com,94252507777000042458,CG
Chhattisgarh,MELARAM & BROTHERS,"BUS STAND ROADBILASPUR,BUS STAND ROAD BILASPUR,495001",melarambrothers.bsp@gmail.com,9827165765,CG
Chhattisgarh,PRAMOD MEDICAL AGENCY,"G.F, 1st & 2nd Floor, Ward No. 12,Sheet No 42, Plot No. 104 2,Bid para , Mastagali,ANATHALAYA PARISHAR RAIGARH,496001",pramodmedicalraigarh@gmail.com,07762-2327409425250340,CG
Chhattisgarh,RATHI MEDICAL AGENCIES,"HIG- C1 & C2HOUSING BOARD COMPLEXOPP. TO NEW BUS STAND,HOUSINGBOARD COMPLEX DUR,491001",rathimedical@yahoo.com,9425552481,CG
Chhattisgarh,SADHANA MEDICO TRADERS,"6,MEDICAL COMPLEX,G.E.ROAD,RAIPUR (C.G),RAIPUR,492001",sadhanamedico@gmail.com,0771-40444329329106333,CG
Chhattisgarh,SHYAM & SONS,"6,MEDICAL COMPLEXTELIPARABILASPURX,BILASPUR,495001",shyamsonsbsp@gmail.com,0775240396842097994252-,CG
Chhattisgarh,UNITED MEDICAL AGENCY,"34, MEDICAL COMPLEXG.E. ROADRAIPURRAIPUR,RAIPUR,492002",unitedryp@gmail.com,0771-22345059755755555,CG
Chhattisgarh,JAI MEDICAL AGENCIES,"G.E.ROADSHOP NO.15 OLD MEDICAL COMPLEX,RAIPUR,492001",JAI.RYP@GMAIL.COM,9826901000,CG
Chhattisgarh,KHATRI MEDICAL AND SURGICALS,"SHOP NO.40-41 GROUND BASEMENT1ST , 2 ND ,3RD , 4TH & 5TH FLR,OLDMEDICAL COMPLEXG.E.ROAD WARD NO. 36RAJBANDHA",khatriraipur@gmail.com,7714025924,CG
Chhattisgarh,KHATRI MEDICAL AND SURGICALS(Apollo,"SHOP NO.40-41 GROUND BASEMENT1ST , 2 ND ,3RD , 4TH & 5TH FLR,OLDMEDICAL COMPLEXG.E.ROAD WARD NO. 36RAJBANDHA",khatriraipur@gmail.com,7714025294,CG
Chhattisgarh,Dinesh Medical Stores Pvt.. Ltd,"NEAR NAHAR NAKASIHAWA RD,DHAMTARI,493773",,,CG
Chhattisgarh,Sanjeevani Pharma Distributors Pvt.,"SECTOR B, 125 A, INDUSTRIAL AREASIRGITTIBilaspur,BILASPUR,495001",,4023253917,CG
Chhattisgarh,SUYASH AGENCIES,"Shop No 58 910073-SUYASH AGENCIESAushadhiVatikaDumartaraiRaipur,RAIPUR,492001",,9826685444,CG
Dadra and Nagar Haveli and Daman and Diu,LIFE LINE MEDICAL AGENCY,"4, CITY CENTEROPP. UNION BANK OF INDIASILVASSA,SILVASSA,396230",lifeline.silvassa@gmail.com,9825085033,DD
Delhi,BRITISH MEDIDEALS,"B-46, LAWRENCE ROAD,INDUSTRIAL AREADELHI.,DELHI,110035",SAWHNEYKUNAL@YAHOO.COM,47046623 9810699965,DL
